id,date,genre,lyric
10,2017.12.11,Dance,Yeah Yeah Yeah Yeah YeahCome and be my loveCome and be my love babyYeah Yeah Yeah Yeah YeahCome and be my loveCome and be my love baby멍하니 서서 막 고민고민 해나 이거 진짜 잘하는 짓인지Yeah Yeah Yeah Yeah뭐 어때No No No No미쳤어난 쯔위라고 해 무작정 인사할까내 전화번호야 쪽지를 주고 도망칠까Yeah Yeah Yeah Yeah어떡해No No No No지금이야Girl you can do it눈이 마주치고 있잖아Love is timing놓치면 후회할지 몰라Love is coming coming좀만 더 용기를 내더는 망설이지 마이상하게 생각해도어쩔 수 없어 반했으니까You're my heart shaker shaker놓치기 싫어You're my heart shaker shaker어떡해바보처럼 안 기다려네게 말할래 반해버렸다고네가 맘에 든다고하루 종일 보고 싶다고Would you be my love반해버렸으니까표정관리 해 어색하지 않게말투는 Cool Cool 긴장할 필요 없어Yeah Yeah Yeah Yeah정신 바짝 차리고 집중해No No No No어떡해 똑바로 못 보겠어지금이야Girl you can do it눈이 마주치고 있잖아Love is timing놓치면 후회할지 몰라Love is coming coming좀만 더 용기를 내더는 망설이지 마이상하게 생각해도어쩔 수 없어 반했으니까You're my heart shaker shaker놓치기 싫어You're my heart shaker shaker어떡해바보처럼 안 기다려내가 말할래 반해버렸다고 네가 맘에 든다고하루 종일 보고 싶다고Would you be my love반해버렸으니까너도 날 원하게 될 거야날 사랑하게 될 걸간절히 바라 너도 나와 같기를Oh Yeah망설이지 마 먼저 다가가사랑을 말해 주저 하지 마Come baby be my be mybe my loveCome baby Bae Bae Bae Bae이상하게 생각해도어쩔 수 없어 반했으니까You're my heart shaker shaker놓치기 싫어You're my heart shaker shaker어떡해바보처럼 안 기다려내가 말할래 좋아한다고 네가 맘에 든다고하루 종일 보고 싶다고사랑한다고반해버렸다고You are mine Be mineYou are mine Be mine좋아한다고 말할래반했으니까
11,2018.01.11,Ballad,너무 늦어버려서 미안나 알다시피 좀 많이 느려서몇 번이나 읽어도난 믿어지지 않았나 봐답을 알 수 없던 질문들다음날에 많이 웃겨줘야지난 그랬어지금 생각해 보면 그때넌 안간힘을 쓰고 있었는데널 알아주지 못하고더 실없이 굴던 내 모습얼마나 바보 같았을까내일 맛있는 거 먹자고 혹영화라도 볼까 말하던 내가나 그때로다시 돌아가 네 앞에 선다면하고 싶은 말 너무나 많지만그냥 먼저 널 꼭 안아 보면 안될까잠시만이라도나 그때로다시 돌아갈 기회가 된다면그때보다는 잘할 수 있을까뭔가 그럴듯한 말을 하고 싶은데나 아무래도 내일 쓸까 봐 또 미룰래너무 오래 걸려서 미안지금 보내더라도 어차피달라질 건 없다고넌 이미 모두 잊었다고읽지도 않을 수 있겠지설마 그럴 리가 없다고모른 척했던 시간이 넘 길었어나 그때로다시 돌아가 널 볼 수 있대도어쩌면 나는 그대로일지 몰라사실 아직도 그 답은 잘 모르겠어미안하단 말은 안 할래그렇게 되면 끝나버릴까 봐그러고 나면 똑같아질까 봐혹시 내일이면 알게 될 수 있을까오늘도 미루고 내일도 미루겠지만널 사랑해이것만으론 안 될지 몰라도이제 와서 다 소용없더라도이것밖에 난 하고픈 말이 없는데사랑해 너를
12,2018.01.03,Dance,설레어 너와 나의 랑데뷰 랑데뷰내 마음을 들었다 놨다 해 맘대루 맘대루지금 내 눈엔 눈엔 눈엔네 어깨 무릎 발 Oh숨이 탁 막힐 것 같아 난 너만 보면wow wow 정신을 또 놔 놔 네 매력에난 난 놀라게 돼 또 Hit it Hit it Hit it HO우우우 무슨 말이 필요해 넌 숨이 콱 막힐 것 같아 넌 자꾸만 봐 자꾸 와 이제 나만 보게 될 거야 너를 들었다 놓을 거야넌 점점 더 Fall in loveGive it to you My 눈눈눈눈눈눈 눈빛쏟아지는 My 터터터터터터 터치하나뿐인 My 럽럽럽럽럽 My Luver내 머리부터 뿜뿜 내 발끝까지 뿜뿜 뿜뿜 어Just feel it 뿜뿜네 앞에서 난 뿜뿜 네게 줄게 뿜뿜 뿜뿜 어지금 보고 있는 게 꿈은 아닐 걸 Wake Up Wake Up 땡땡이치고 날 만나게 될 걸 Take off Take off매력을 야 뿜어뿜어뿜어뿜어 보여줄게 Pic up the phoneNow or Never Pick up Pick upwow wow 정신없이 쿵 쿵 내 마음을 뿜 뿜 사정없이 또 Hit it Hit it Hit it HO우우우 여기서 뭘 어떻게 더낮이나 밤이나 빛이나 미쳤나봐떨리지 막 떨려와 이제 나만 생각 날 거야 밤에 잠도 잘 못 잘 거야 점점 더 Fall in loveGive it to you My 눈눈눈눈눈눈 눈빛쏟아지는 My 터터터터터터 터치하나뿐인 My 럽럽럽럽럽 My Luver내 머리부터 뿜뿜 내 발끝까지 뿜뿜 뿜뿜 어우 너만 보면 너만 보면 내 가슴이 뿜뿜뿜뿜뿜뿜뿜뿜 뿜우 자꾸 봐도 자꾸 봐도 내 가슴이 쿵쿵쿵쿵뿜뿜뿜뿜Give it to you My 눈눈눈눈눈눈 눈빛쏟아지는 My 터터터터터터 터치하나뿐인 My 럽럽럽럽럽 My Luver내 머리부터 뿜뿜 내 발끝까지 뿜뿜 뿜뿜 어Just feel it 뿜뿜네 앞에서 난 뿜뿜 네게 줄게 뿜뿜 뿜뿜 어
13,2017.09.29,R&amp;B; / Soul,오늘도 난 술을 마셔 우울하니까네가 또 생각나니까침대 위에 놓인 전활 꺼 둬야만 해내일 후회할 것 같아서찬 바람이 불어 오면왠지 술 한 잔이 생각나너도 옆에 있으면 좋겠어파도처럼 내게 밀려와나를 어지럽게 만드는네가 오늘따라 더 생각이 나오늘도 난 술을 마셔 밤이 되니까네가 또 생각나니까침대 위에 놓인 전활 꺼 둬야만 해내일 후회할 것 같아서나에게 읽어 주던 시너와 살던 집모든 게 다 생각이 나파란 지붕 밑 강이 보이는 곳한강 위에 비친 달빛이네가 있는 곳을 안다면그곳을 비춰준다면 좋겠어시간은 저녁을 지나 긴 새벽인데왜 자꾸 네가 생각나쓸쓸한 네 빈자리가 날 외롭게 해아직 많이 사랑하나 봐아직은 힘들 것 같아너의 번호를 지운단 건너를 모두 지우는 것 같아서오늘 밤은 너를 찾아가이 말을 전하고 싶어너를 정말 많이 사랑했다고오늘도 난 술을 마셔 비가 오니까네가 또 생각나니까침대 위에 놓인 전활 꺼 둬야만 해내일 후회할 것 같아서이 밤에 술을 한 잔 하는 건모두 그렇지만 나 결국 너를 잊을 걸알면서도 헤어지려는마음이 이렇게 슬프기때문일까 내 탓일까지금은 너도 혹시내 생각 하다 잠 못 들지 않는지너무나 보고 싶어 1분이라도네가 또 보고 싶어보고 싶어
14,2017.12.26,Ballad,마음과 반대로 아픈 말이 나와너를 힘들게 했던 나도 내가 힘든 걸다짐과 다르게 나아진 게 없어늘 실망하게 했던 나도 후회하는 걸잊을 수 없을 것 같아바람이 차가워지면입김을 불어서 숨결을 만지던 밤행복한 웃음소리로포근히 끌어안으며별빛처럼 빛날 내일을 꿈꾸던 밤I`ll search the universe널 다시 찾을 때까지놓지 않을 거야 티끌 같은 기억도계절에 새겨진 우리의 추억은 다시몇 번이고 돌아와 널 부를 테니까웃음과 눈물이 상처와 치유가질문과 해답들이 네 안에 다 있는 걸나의 세상을 가진 나의 작은 우주가소멸하는 순간 나도 사라지겠지I`ll search the universe널 다시 찾을 때까지놓지 않을 거야 티끌 같은 기억도계절에 새겨진 우리의 추억은 다시몇 번이고 돌아와 널 부를 테니까기억은 언제나 눈물을 데려와다 씻어낸 자리에 Woo baby너 하나만 남겨 둬단 하루에 단 한번에끊어낼 수 있는 마음이 아니란 걸아프도록 느끼잖아그 어디라고 해도 너에게 가는 나I`ll search the universe널 다시 찾을 때까지놓지 않을 거야 티끌 같은 기억도계절에 새겨진 우리의 추억은 다시기어이 돌아와 널 찾을 테니까그게 사랑이니까사랑이니까
15,2017.09.18,Rap / Hip-hop,첫눈에 널 알아보게 됐어서롤 불러왔던 것처럼내 혈관 속 DNA가 말해줘내가 찾아 헤매던 너라는 걸우리 만남은 수학의 공식종교의 율법 우주의 섭리내게 주어진 운명의 증거너는 내 꿈의 출처Take it take it너에게 내민 내 손은 정해진 숙명걱정하지 마 love이 모든 건 우연이 아니니까우린 완전 달라 baby운명을 찾아낸 둘이니까우주가 생긴 그 날부터 계속무한의 세기를 넘어서 계속우린 전생에도 아마 다음 생에도영원히 함께니까이 모든 건 우연이 아니니까운명을 찾아낸 둘이니까DNAI want it this love I want it real love난 너에게만 집중해좀 더 세게 날 이끄네태초의 DNA 가 널 원하는데이건 필연이야 I love us우리만이 true lovers그녀를 볼 때마다 소스라치게 놀라신기하게 자꾸만 숨이 멎는 게 참 이상해 설마이런 게 말로만 듣던 사랑이란 감정일까애초부터 내 심장은 널 향해 뛰니까걱정하지 마 love이 모든 건 우연이 아니니까우린 완전 달라 baby운명을 찾아낸 둘이니까우주가 생긴 그 날부터 계속무한의 세기를 넘어서 계속우린 전생에도 아마 다음 생에도영원히 함께니까이 모든 건 우연이 아니니까운명을 찾아낸 둘이니까DNA돌아보지 말아운명을 찾아낸 우리니까후회하지 말아 baby영원히영원히영원히영원히함께니까걱정하지 마 love이 모든 건 우연이 아니니까우린 완전 달라 baby운명을 찾아낸 둘이니까La la la la laLa la la la la우연이 아니니까La la la la laLa la la la la우연이 아니니까DNA
16,2017.11.29,R&amp;B; / Soul,니가 없는 자리는 투명한 꿈처럼허전한 듯 나를 감싸고무뎌진 마음을꼭 붙잡았던 나는 오늘도 이렇게그대라는 시간은 내 그림자처럼항상 그 자리에낮은 구름같이 무거운하루를 보낸다고차가운 바람이 이 자릴 지나면우리는 사라지나요달아나는 기억의 빈자리를그대는 인정할 수 있나요아직 내 마음엔서로 마주하던 그 눈빛을이어주는 길이 남아있죠돌아선 나날들이 서러운 걸요차가운 바람이 이 자릴 지나면우리는 사라지나요마주치는 기억의 그 자리를 그대는포기할 수 있나요뜨거운 눈물이 이 자릴 지우면영원히 사라지나요무딘 마음이 이 자릴 메우면하루는 살아지나요달아나는 기억의 빈자리를 그대는바라볼 수 있나요미련 가득히 이 자릴 채우면그대는 돌아오나요멀어지는 기억의 그 자리를 나는이젠
17,2017.04.24,R&amp;B; / Soul,미안해 내 탓이야 고마워 덕분이야툭하면 내뱉던 네 그 말버릇너도 힘든 걸 난 다 아는데아마 넌 내가 바본 줄 아나 봐우는 얼굴로 나 힘들다 하면정말 나아질까그럼 누가 힘들까 아프다 징징대면모두 다 괜찮아지는데아마 너와 난 착각 속에서로를 가둬둔 지 몰라아냐 너는 날 이해 못 해걱정 어린 네 눈을 볼 때면Baby I’m so Lonely so Lonely나는 혼자 있는 것만 같아요지친 널 볼 때면 내가 너에게혹시 짐이 될까 많이 버거울까Baby I’m so Lonely so Lonely나도 혼자 있는 것만 같아요그래도 너에게 티 내기 싫어나는 혼자 참는 게 더 익숙해날 이해해줘우린 함께 있지만 같이 걷질 않잖아외로움과 괴로움기억 하나 차인 건데넌 왜 자꾸 다르게만적으려 하는 건지Baby I’m so Lonely so Lonely나는 혼자 있는 것만 같아요그래도 너에게 티 내기 싫어나는 혼자 참는 게 더 익숙해날 이해해줘날 내버려 둬Baby I’m so Lonely so Lonely나는 혼자 있는 것만 같아요Baby I’m so Lonely so Lonely나도 혼자 있는 것만 같아요그래도 너에게 숨기기 싫어나는 혼자 참는 게 더 익숙해날 이해해줘
18,2017.06.22,Ballad,이제 괜찮니 너무 힘들었잖아우리 그 마무리가 고작 이별뿐인 건데 우린 참 어려웠어잘 지낸다고 전해 들었어 가끔벌써 참 좋은 사람만나 잘 지내고 있어굳이 내게 전하더라잘했어 넌 못 참았을 거야그 허전함을 견뎌 내기엔좋으니 사랑해서 사랑을 시작할 때니가 얼마나 예쁜지 모르지그 모습을 아직도 못 잊어헤어 나오지 못해니 소식 들린 날은 더좋으니 그 사람 솔직히 견디기 버거워니가 조금 더 힘들면 좋겠어진짜 조금 내 십 분의 일 만이라도아프다 행복해 줘억울한가 봐 나만 힘든 것 같아나만 무너진 건가고작 사랑 한번 따위 나만 유난 떠는 건지복잡해 분명 행복 바랬어이렇게 빨리 보고 싶을 줄좋으니 사랑해서 사랑을 시작할 때니가 얼마나 예쁜지 모르지그 모습을 아직도 못 잊어헤어 나오지 못해니 소식 들린 날은 더좋으니 그 사람 솔직히 견디기 버거워너도 조금 더 힘들면 좋겠어진짜 조금 내 십 분의 일 만이라도아프다 행복해 줘혹시 잠시라도 내가 떠오르면걘 잘 지내 물어 봐줘잘 지내라고 답할 걸 모두 다내가 잘 사는 줄 다 아니까 그 알량한 자존심 때문에 너무 잘 사는 척후련한 척 살아가좋아 정말 좋으니딱 잊기 좋은 추억 정도니난 딱 알맞게 사랑하지 못한뒤끝 있는 너의 예전 남자친구일 뿐스쳤던 그저 그런 사랑
19,2018.01.25,Ballad,마음이 툭 하고 끊어진 것 같아한동안 멍하다 금세 너무 아파우우우우 잘 지내차가운 너의 그 한마디머뭇대며 왜냐고 물어보려다그만두기로 해이제 와 뭐가 중요하겠니이별의 이유 따위달라지는 건 없을 텐데가까스로 한동안 버티겠지엉망으로 너 없는 시간들을그러다 네 소식에잘 지낸단 말에 무너지듯못 견디게 보고 싶겠지 나는그런가 봐 내 마음 한편에선참 못난 생각만 해적어도 나보단 더 아프길나보다 늦게 잊길나 때문에 잠 못 이루길너 없이 가까스로 한동안 버티겠지엉망으로 너 없는 시간들을그러다 네 소식에잘 지낸단 말에 무너지듯못 견디게 그립고 못 견디게 밉겠지어쩌면 나에게 미안해서널 너무 사랑한 내가 안쓰러워서잘 지내고 싶은데 네 말처럼일분 일초가 엉망이야이별이 다 그렇지괜찮은 척 지내다한순간 주저앉고 말아우연히 보게 된 누군가와웃는 네 사진에못 견디게 그립고또 못 견디게 밉겠지어쩌면 나에게 미안해서널 너무 사랑한 내가 안쓰러워서잘 지내고 싶은데 네 말처럼일분 일초가 엉망이야 너 없인
20,2017.07.27,Ballad,너무 힘들어 삶에 치이고 되는 것도 없고 가족도 안 보이고 언제부턴가 나도 중요하지 않고없진 않지만 더 많이 가져야사랑도 이어갈 수 있는 이 세상에서all of my lifeyou are all of my life그러고 보면 나 너를 만나 참 많이 변했어 꿈이 생기고 네가 가진 꿈도 이뤄주고 싶었어 나 그러려면더 높은 곳에 올라가야만 했어더 많은 것들을 가져야 가능했어다 가질 때쯤사랑보다 꿈이 더 커졌어all of my life 내가 힘이 들 때you are all of my life 네가 날 채웠는데 다른 어떤 걸로 나를 채워봐도 all of my life you are all of my life 채워지지가 않아 그렇게 우리 바라왔고 간절했던 거잖아이젠 내방에 가득한데 나도 아무것도 없는 방 안에서 넌 혼자이렇게 주저앉아 울고 있었니all of my life 넌 내 전부인데 이 모든 게 다 무슨 소용 있는데 어디선가 이 노랠 듣게 된다면 all of my life all of my life 네 이야기가 맞아
